source,target
10.13039/501100000781,283871
10.13039/501100000781,291406
10.13039/501100000781,263027
10.13039/501100000781,261971
10.13039/501100000781,294313
10.13039/501100000781,263227
10.13039/501100000781,311000
10.13039/501100000781,336803
10.13039/501100000781,208814
10.13039/501100000781,268519
10.13039/501100000781,617553
10.13039/501100000781,283867
10.13039/501100000781,258321
10.13039/501100000781,616358
10.13039/501100000781,616830
10.13039/501100000781,310372
10.13039/501100000781,267352
10.13039/501100000781,310890
10.13039/501100000781,284167
10.13039/501100000781,281384
10.13039/501100000781,648666
10.13039/501100000781,281573
10.13039/501100000781,290623
10.13039/501100000781,647148
10.13039/501100000781,281722
10.13039/501100000781,280829
10.13039/501100000781,249347
10.13039/501100000781,639776
10.13039/501100000781,259510
10.13039/501100000781,269036
10.13039/501100000781,610256
10.13039/501100000781,257106
10.13039/501100000781,281191
10.13039/501100000781,610706
10.13039/501100000781,264465
10.13039/501100000781,310539
10.13039/501100000781,336893
10.13039/501100000781,679190
10.13039/501100000781,294342
10.13039/501100000781,324202
10.13039/501100000781,289146
10.13039/501100000781,335928
10.13039/501100000781,306488
10.13039/501100000781,267254
10.13039/501100000781,639429
10.13039/501100000781,289442
10.13039/501100000781,322942
10.13039/501100000781,282413
10.13039/501100000781,282250
10.13039/501100000781,341225
10.13039/501100000781,290424
10.13039/501100000781,322784
10.13039/501100000781,641156
10.13039/501100000781,293579
10.1088/2040-8978/18/10/104001,608062
10.1088/2040-8978/18/10/104001,244026
10.1103/PhysRevLett.108.111803,303482
10.1103/PhysRevLett.108.111803,246806
10.1109/TRO.2017.2786734,287617
10.1109/TRO.2017.2786734,644271
10.1051/0004-6361/201628589,268107
10.1051/0004-6361/201628589,291521
10.1051/0004-6361/201628589,202686
10.13039/501100001659,303618
10.13039/501100001659,612669
10.13039/501100001659,633592
10.13039/501100001659,256986
10.13039/501100001659,284443
10.13039/501100001659,341225
10.13039/501100001659,282510
10.13039/501100001659,303618
10.13039/501100001659,612669
10.13039/501100001659,633592
10.13039/501100001659,256986
10.13039/501100001659,284443
10.13039/501100001659,341225
10.13039/501100001659,282510
24555484,228292
24555484,222633
10.13039/501100000265,305312
10.13039/501100000265,241924
10.13039/501100000265,320372
10.13039/501100000265,215362
10.13039/501100000265,260511
10.13039/501100000265,601003
10.13039/501100000265,601810
10.13039/501100000265,282510
10.13039/501100000265,223477
10.13039/501100000265,647479
10.13039/501100000265,660150
10.13039/501100000265,241955
10.13039/501100000265,305815
10.13039/501100000265,283605
10.13039/501100000265,281824
10.13039/501100000265,626229
10.13039/501100000265,305121
10.13039/501100000265,289021
10.13039/501100000265,249956
10.13039/501100000265,659669
10.13039/501100000265,623513
10.13039/501100000265,281668
10.13039/501100000265,259303
10.13039/501100000265,731593
10.7554/eLife.23255,610028
10.7554/eLife.23255,702057
10.1016/j.it.2017.01.005,647384
10.1016/j.it.2017.01.005,647257
10.13039/501100000781,323009
10.13039/501100000781,249393
10.13039/501100000781,246953
10.13039/501100000781,294962
10.13039/501100000781,280032
