Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_c09823961870565d6322563133bb3884,entityid_a0110ffd75d7bde3e4bf4f13fbc8c0c2,Undirected,23037,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_92eb39128f5fb9739e49a75526763031,Undirected,23038,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d2f744e2dd3aaa0af39788d51e08d953,Undirected,23039,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_53fd55f88847c400348824b039010276,Undirected,23040,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_073ddd34fcaeff8cbfec171dbefe4da1,Undirected,23041,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d6366b343c5287b5287cba79006c4f43,Undirected,23042,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_dd27707d134d3bc9e982940211a862fa,Undirected,23043,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_4733fed64c44983f83296356a878e641,Undirected,23044,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b573e15a8bf5dbede7a1575a30752cbd,Undirected,23045,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_ba49a678d59b486090cdebbe2752ccbb,Undirected,23046,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e80ecf9759c2a1e636389c5fb99b5959,Undirected,23047,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_4dd07f7f0136a236d1152a9529827de4,Undirected,23048,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_6441ea866a3eaeae4b53facf8428ff0a,Undirected,23049,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_02545698da588a4a81c2143314be05ff,Undirected,23050,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_c8dfdc6f27517776ce8ffe8a3c491cd4,Undirected,23051,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3a17e998180373e08505fb9389a4e7cd,Undirected,23052,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d89d7a49d66aa6fe974fb238552c1957,Undirected,23053,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_21c2d307692f048663774950d56a79bc,Undirected,23054,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a965ac6ba2b3b64745b8318a0cf87637,Undirected,23055,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_350e52af09f6944815b199cff682969a,Undirected,23056,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_bc2533be7e6522ef2a2624871f701c5b,Undirected,23057,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_913fb3e51aa8418f46c68e95a1b08a54,Undirected,23058,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_1e62ac07f81808b94e9d3a65233f56b9,Undirected,23059,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3cfee019f1efea006edcf254a91db8d3,Undirected,23060,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_70ee0298c0d4320fe601c3b9ea3dcf0b,Undirected,23061,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5beb8968cd3b848b254bd2b12976a2d6,Undirected,23062,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_68a27cda570fc7891b21fd757dd01017,Undirected,23063,,,1,,1
