name,citations,order
Cortez-Pinto,176,last
Cotler,149,last
Couzigou,22,last
Crabb,518,last
Craxì,168,last
Cusi,826,last
Dagalp,195,last
Dai,60,last
Daram,47,last
Das,38,last
Dasarathy,48,last
Davenport,21,last
Davidson,140,last
Davila,102,last
Davis,139,last
Day,920,last
De Andrade,24,last
De Knegt,23,last
De La M Hall,174,last
de Lédinghen,214,last
De Moura,261,last
de Oliveira,21,last
Del Castillo,48,last
Delgado,31,last
Delzenne,90,last
Demetris,24,last
Denk,136,last
Dennis,34,last
DePaoli,27,last
Desai,36,last
Desdouets,42,last
Deugnier,393,last
Dhawan,150,last
Di Marco,23,last
Diamantis,59,last
Diehl,2790,last
Dierkhising,463,last
Dillon,34,last
Dixon,32,last
Djalili,23,last
Dogru,29,last
Dolar,46,last
Donato,24,last
Dooley,126,last
Driscoll,815,last
Dufour,204,last
Duman,53,last
Dumortier,60,last
Durazzo,27,last
Duseja,30,last
Duvnjak,52,last
Ehehalt,45,last
Ehman,195,last
El-Serag,256,last
Erensoy,37,last
Ezaki,37,last
Fallon,66,last
Fargion,442,last
Farrell,1395,last
Fartoux,25,last
Fausto,76,last
Feldstein,2581,last
Ferguson,93,last
Fernandez-Checa,72,last
Fernández-Rãada,75,last
Ferrannini,33,last
Ferrari,32,last
Ferrell,24,last
Fimia,36,last
Fiorelli,182,last
Fiorucci,43,last
Firneisz,45,last
Flott-Rahmel,58,last
Flum,138,last
Flynn,46,last
Forlani,119,last
Foucher,72,last
Fracanzani,57,last
Francque,58,last
Friedman,193,last
Fromenty,888,last
Frühbeck,23,last
Fukui,383,last
Fukusato,289,last
Galle,74,last
Galvano,244,last
Gandhi,48,last
Gao,22,last
García-Monzón,137,last
García-Ruiz,291,last
Gasbarrini,46,last
Gastaldelli,179,last
Gaudio,116,last
Gawrieh,25,last
Gdoura,70,last
Geier,42,last
George,1795,last
Georgescu,84,last
Geramizadeh,36,last
Ghali,43,last
Ghoshal,47,last
Gill,308,last
Giordano,43,last
Gnoni,46,last
Goergens,80,last
Goetze,21,last
Goldin,77,last
Gomer?i? Pal?i?,52,last
Gores,1105,last
Gough,39,last
Green,403,last
Grieco,590,last
Gual,243,last
Guellaen,32,last
Guerrero-Romero,27,last
Guillou,34,last
Guo,93,last
Hadjiyannakis,73,last
Hahn,125,last
Hampe,28,last
Hancock,93,last
Harrison,3087,last
Hart,69,last
Hartleb,29,last
Hatakeyama,28,last
Hayashi,987,last
Hayes,147,last
Hazen,105,last
Heathcote,114,last
Heeringa,41,last
Hekmatdoost,30,last
Hellerbrand,256,last
Herkel,80,last
Hesham A-Kader,23,last
Hespenheide,196,last
Hibi,407,last
Hiriart,72,last
Hodson,37,last
Hofker,412,last
Horsmans,103,last
Hsueh,86,last
Huang,25,last
Hulagu,76,last
Hultcrantz,386,last
Huser,21,last
Hussein,39,last
Idle,75,last
Ido,27,last
Ilan,209,last
Imura,22,last
Inge,71,last
Inukai,42,last
Ioannou,388,last
Ishibashi,136,last
Itoh,188,last
Jacob,303,last
Jacobs,33,last
Jainu,21,last
Jakate,72,last
Jansen,38,last
Jara,21,last
Jess,42,last
Jia,56,last
Jiang,107,last
Joh,22,last
Jornayvaz,59,last
Juyal,40,last
Kahn,43,last
Kalayci,77,last
Kalhan,34,last
Kalra,51,last
Kamanna,24,last
Kamisako,23,last
Kanatani,82,last
Kaneko,547,last
Kaplan,25,last
Kaplowitz,136,last
Kar,29,last
Karagiannis,25,last
Karakok,120,last
Karakök,29,last
Karin,314,last
Kato,37,last
Katsuda,24,last
Kawada,338,last
Kawata,30,last
Keshavarzian,110,last
Khatibian,42,last
Khettry,108,last
Kilic,114,last
Kirsch,66,last
Kirwan,116,last
Kiyosawa,162,last
Klaikeaw,41,last
Klassen,28,last
Kleemann,25,last
Klinger,27,last
Kocer,67,last
Kodama,28,last
Koehler,23,last
Koek,72,last
Koike,37,last
Kojima,34,last
Komorowski,27,last
Konturek,136,last
Koonen,21,last
Koppe,32,last
Korolczuk,28,last
Kotze,52,last
Kountouras,122,last
Kowdley,785,last
Kremoser,23,last
Kroemer,227,last
Kumada,83,last
Kung,49,last
Kuwada,24,last
Laakso,45,last
Labropoulou-Karatza,22,last
Lai,26,last
Lamers,51,last
Landaverde,38,last
Larsen,40,last
Larter,1444,last
Lavine,1366,last
Lazo,29,last
Le Bail,36,last
Le Marchand-Brustel,300,last
Leclercq,26,last
Lee,466,last
Leelarungrayub,22,last
Lemoine,60,last
Lengyel,21,last
Lesmana,36,last
Levade,74,last
Leverve,26,last
Li,195,last
Li Volti,134,last
Lian,31,last
Liddle,50,last
Lindor,2793,last
Lonardo,412,last
Loomba,1056,last
Lopez,31,last
Loria,277,last
Lotersztajn,50,last
Lottenberg,42,last
Lu,58,last
Lucey,149,last
Ludwig,323,last
Luedde,138,last
Lustig,275,last
Lwin,58,last
Ma,184,last
Macaluso,23,last
Madjlessi,43,last
Maggi,31,last
Magnuson,43,last
Makuuchi,87,last
Malaguarnera,432,last
Malecka-Panas,34,last
Malekzadeh,39,last
Malet,99,last
Mallika,21,last
Mandarim-de-Lacerda,38,last
Maniu,150,last
Mankura,46,last
Mantzoros,219,last
Maratos-Flier,248,last
Marcellin,95,last
Marcellini,67,last
Marchesini,871,last
Marino,180,last
Marra,42,last
Marroni,52,last
Martinez,88,last
Martín-Sanz,47,last
Marzocchi,166,last
Masroor,36,last
Mastai,62,last
Masuda,23,last
Mathurin,101,last
Mato,36,last
Mattar,33,last
Matthews,28,last
Mavromichalis,100,last
Mazur,32,last
McClain,846,last
McCullough,2400,last
McCuskey,139,last
McGill,477,last
McPherson,28,last
Memik,164,last
Méndez-Sánchez,24,last
Merriman,184,last
Mezrich,46,last
Michalak,36,last
Mikhailidis,106,last
Milburn,139,last
Minuk,55,last
Miyahara,24,last
Miyanishi,23,last
Miyoshi,44,last
Mizuguchi,29,last
Mohanty,215,last
Monga,83,last
Montalto,37,last
Montoliu,64,last
Moore,59,last
Moreno-Otero,152,last
Mori,144,last
Morishita,42,last
Moriwaki,52,last
Moriya,53,last
Moschen,770,last
Moshage,35,last
Muggeo,86,last
Mukherjee,39,last
Mulder,185,last
Müller,156,last
Mun,31,last
Mune,42,last
Muñoz Yagüe,44,last
Muntané,61,last
Murakami,112,last
Murr,72,last
Nadeau,93,last
Nagata,71,last
Nagy,143,last
Nair,227,last
Najjar,23,last
Nak,130,last
Nakajima,1458,last
Nakamura,355,last
Nakamuta,72,last
Nakanuma,31,last
Nalesnik,24,last
Nanau,27,last
Naserimoghadam,102,last
Nauck,23,last
Neligan,25,last
Nelson,188,last
Neuman,26,last
Neumeier,126,last
Neuschwander-Tetri,1213,last
Newman,24,last
Newsome,289,last
Nielsen,122,last
Nightingale,206,last
Nishina,25,last
Nobili,883,last
Northup,22,last
Nouso,75,last
Nozaki,23,last
Oates,34,last
Oben,96,last
Obermeier,78,last
O'Brien,1717,last
O'Farrelly,24,last
Ogawa,74,last
Ohnishi,179,last
Okanoue,612,last
Okita,115,last
Olivier,25,last
Omagari,25,last
Omata,76,last
Onishi,452,last
Oren,56,last
Orlic,21,last
Osaki,65,last
Ota,58,last
Ozbay,25,last
Ozden,63,last
Ozdogan,30,last
Ozenirler,50,last
Özer,27,last
Ozercan,69,last
Pagano,447,last
Palasciano,152,last
Paletas,191,last
Palmeira,335,last
Papatheodoridis,47,last
Paradis,84,last
Parker Jr,318,last
Parrilla,58,last
Pascale,31,last
Pasparakis,375,last
Patel,24,last
Pattou,285,last
Pawlik,32,last
Peinado-Onsurbe,64,last
Pépin,30,last
Péron,26,last
Perretti,25,last
Persico,95,last
Pessayre,338,last
Petta,23,last
Piemonte,54,last
Pietrangelo,34,last
Pihlajamäki,26,last
Pinzani,167,last
Pirola,1049,last
Polotsky,304,last
Poniachik,53,last
Pons-Romero,784,last
Poordad,87,last
Porte,52,last
Portincasa,175,last
Portugal,31,last
Powderly,40,last
Powell,551,last
Poynard,1701,last
Prieto,118,last
Prough,24,last
Puavilai,30,last
Pugliese,58,last
Puri,36,last
Püschel,28,last
Putignani,43,last
Qu,60,last
Quigley,286,last
Quiles,43,last
Quinkler,22,last
Raiford,88,last
Rakugi,74,last
Ramalho,64,last
Rao,53,last
Raponi,58,last
Ratziu,347,last
Raucci,31,last
Redick,78,last
Regev,84,last
Reid,456,last
Reimer,57,last
Renner,44,last
Rensen,34,last
Richards,93,last
Richart,21,last
Riely,303,last
Rinella,359,last
Roberts,176,last
Robertson,559,last
Rodrigues,559,last
Romeo,159,last
Romero-Gómez,21,last
Rosenberg,37,last
Roth,112,last
Rotter,156,last
Rousselet,65,last
Rozman,40,last
Saglam,23,last
Saheki,22,last
Sahin,110,last
Saibara,174,last
Saito,34,last
Sakaguchi,59,last
Sakaida,112,last
Sakisaka,25,last
Salizzoni,1080,last
Salles,75,last
Salomone,28,last
Santucci,130,last
Sanyal,381,last
Sarin,306,last
Sarr,64,last
Sasaguri,77,last
Sasaki,57,last
Sasaoka,24,last
Sassolas,29,last
Sata,37,last
Sato,206,last
Sattar,200,last
Savard,54,last
Savassi Rocha,63,last
Schattenberg,102,last
Scheimann,41,last
Schenker,158,last
Schirmacher,35,last
Schnabl,32,last
Schooten,24,last
Schuppan,260,last
Schwimmer,442,last
Sedger,70,last
Seeley,151,last
Seitz,36,last
Seki,686,last
Sekine,75,last
Senturk,29,last
Sentürk,134,last
Serfaty,164,last
Setji,57,last
Setou,93,last
Shaffer,33,last
Shah,110,last
Shapiro,531,last
Sharma,28,last
Sheikh,76,last
Shen,139,last
Sheppard,356,last
Shibata,26,last
Shimosegawa,95,last
Shiota,127,last
Shiratori,673,last
Shiri-Sverdlov,384,last
Sibille,57,last
Silverman,62,last
Simonetti,27,last
Sirlin,125,last
Skoien,65,last
Slavakis,24,last
Sledzinski,27,last
Sledzi?ski,43,last
Slomka,27,last
Smir?i? Duvnjak,52,last
Smith,25,last
Smyrk,27,last
Socha,21,last
Solis-Herruzo,376,last
Song,369,last
Sookoian,213,last
Sprung,22,last
Staels,313,last
Starzl,24,last
Stefani,28,last
Stein,64,last
Steinberg,28,last
Stellaard,62,last
Stewart,35,last
Štimac,57,last
Stojsavljevi?,52,last
Strasberg,340,last
Stremmel,68,last
Su,40,last
Sudoh,87,last
Sugiyama,137,last
Suzuki,146,last
Svegliati-Baroni,282,last
Szajewska,76,last
Tacke,488,last
Taguchi,77,last
Tailleux,41,last
Takahara,27,last
Takahashi,97,last
Takakura,25,last
Takamura,41,last
Takano,114,last
Takasaki,76,last
Takase,110,last
Takata,27,last
Takehara,114,last
Takei,86,last
Takeya,34,last
Talwalkar,23,last
Tamaki,25,last
Tanaka,138,last
Tang,85,last
Tarantino,32,last
Targher,147,last
Tatar,61,last
Tavill,21,last
Tazuma,155,last
Teoh,26,last
Terauchi,127,last
Terpos,56,last
Testa,36,last
Thiele,149,last
Thuluvath,416,last
Thummel,124,last
Tiengo,157,last
Tilg,487,last
Tillmann,50,last
Tiniakos,214,last
Tio,103,last
Tiribelli,305,last
Titos,48,last
Todd,99,last
Tokushige,217,last
Tomita,102,last
Tomlinson,110,last
Tonascia,174,last
Tordjman,22,last
Torimura,49,last
Torok,130,last
Török,28,last
Tozun,80,last
Tran,136,last
Trauner,89,last
Trautwein,85,last
Treckmann,34,last
Tsochatzis,107,last
Tsubouchi,62,last
Tsuchimoto,22,last
Tsung,84,last
Tuncer,60,last
Twigg,37,last
Ueda,82,last
Ünalp,88,last
Upadhyay,21,last
Uribe,268,last
Vajro,90,last
Valenti,292,last
Valverde,102,last
Van Den Hoek,35,last
Van Der Merwe,191,last
Van Der Poorten,26,last
Van Der Schueren,27,last
Van Gaal,193,last
Van Hul,27,last
Van Marck,59,last
Van Pelt,27,last
Van Wyk,55,last
Vance,32,last
Vancica,104,last
Vanheel,55,last
Vannucchi,42,last
Varma,86,last
Velagi?,172,last
Vella,27,last
Verdonk,33,last
Vergniol,72,last
Vidal-Puig,65,last
Videla,51,last
Vinciguerra,164,last
Virovi? Juki?,52,last
Vizzutti,37,last
Voiculescu,76,last
Von Loeffelholz,76,last
Wachter,25,last
Wakabayash,25,last
Wakasa,328,last
Wan,72,last
Wang,506,last
Watanabe,69,last
Watts,82,last
Waugh,49,last
Webber,343,last
Weber,31,last
Weiner,65,last
Weinman,71,last
Weiss,45,last
Weng,52,last
Westman,92,last
Whiteman,22,last
Whitington,153,last
Wiesner,295,last
Williams,50,last
Wilson,70,last
Wittington,188,last
Wong,78,last
Wright,315,last
Wu,46,last
Xiao,55,last
Xie,121,last
Yamada,45,last
Yamamoto,209,last
Yamanouchi,86,last
Yang,174,last
Yao,26,last
Yazdi,50,last
Ye,71,last
Yeh,208,last
Yeomans,29,last
Yerian,24,last
Yilmaz,170,last
Yki-Järvinen,451,last
Yodoi,174,last
Yoneda,74,last
Yoneyama,128,last
Yoshida,102,last
Yoshikawa,247,last
Yoshimura,36,last
Young,38,last
Younossi,79,last
Yu,192,last
Yukawa,52,last
Zampella,50,last
Zanlungo,39,last
Zatloukal,51,last
Zein,525,last
Zelber-Sagi,65,last
Zeller,129,last
Zeng,22,last
Zhang,205,last
Zhao,27,last
Zhu,166,last
Zimmermann,212,last
Abdelmalek,784,first
Abiru,136,first
Abrams,141,first
Abu-Shanab,200,first
Adams,495,first
Adar,21,first
Adorini,130,first
Afonso,27,first
Afzali,140,first
Agarwal,28,first
Agopian,97,first
Ahmed,189,first
Aithal,343,first
Ajamieh,26,first
Ali,146,first
Alisi,188,first
Alkhouri,302,first
Allard,142,first
Amarapurkar,61,first
Amato,43,first
Ampuero,21,first
Anderson,244,first
Angulo,1772,first
Anjani,22,first
Anstee,77,first
Anty,255,first
Aoyama,34,first
Arab,28,first
Aranha,57,first
Arendt,34,first
Argo,373,first
Arguello,39,first
Armstrong,57,first
Arrese,25,first
Arulanandan,36,first
Arun,72,first
Arvaniti,22,first
Asano,67,first
Asanuma,34,first
Asaoka,25,first
Ascha,525,first
Ashraf,76,first
Askari,30,first
Aso,42,first
Asrih,59,first
Assy,39,first
Ataseven,26,first
Athyros,74,first
Aubert,109,first
Auguet,21,first
Ayata,108,first
Baba,127,first
Bacon,121,first
Baeck,171,first
Bagheri,36,first
Bahcecioglu,75,first
Bahrami,23,first
Baker,63,first
Balaban,61,first
Balas,47,first
Ballestri,127,first
Balmer,72,first
Bambha,118,first
Banasch,21,first
Baratta,20,first
Barchetta,91,first
Barker,143,first
Barreyro,62,first
Basaranoglu,134,first
Baskol,67,first
Bastati,54,first
Bazick,26,first
Beath,38,first
Bechmann,211,first
Becker,42,first
Bedossa,243,first
Begriche,549,first
Bekri,300,first
Bell,217,first
Bellentani,621,first
Berasain,118,first
Beraza,58,first
Bernsmeier,52,first
Bertola,94,first
Berzigotti,57,first
Beste,100,first
Bettaieb,28,first
Beymer,138,first
Beyo?lu,75,first
Bhagat,84,first
Bieghs,307,first
Blackburn,31,first
Boettcher,124,first
Bohinc,42,first
Bonora,52,first
Boppidi,47,first
Boursier,638,first
Boza,99,first
Brenner,255,first
Bril,115,first
Brown,30,first
Browning,149,first
Bruce,208,first
Brunt,4241,first
Buckingham,47,first
Buechler,171,first
Bugianesi,1328,first
Burke,149,first
Burt,226,first
Buzzetti,107,first
Byrne,201,first
Caballero,229,first
Caiazzo,57,first
Calamita,35,first
Caldwell,2026,first
Calès,29,first
Campos,97,first
Canbakan,54,first
Canet,24,first
Capeau,79,first
Capristo,34,first
Carbone,29,first
Cariou,37,first
Carpino,46,first
Carr,23,first
Carter-Kent,260,first
Carulli,82,first
Castera,188,first
Castro,116,first
Catalina,61,first
Cauble,40,first
Cave,337,first
Cayón,25,first
Cazanave,43,first
Ceccarelli,30,first
Celinski,28,first
Centis,66,first
Chalasani,971,first
Chamulitrat,32,first
Chan,67,first
Charlton,1187,first
Chatzigeorgiou,28,first
Chavez-Tapia,195,first
Chen,227,first
Cherkaoui-Malki,22,first
Chiang,86,first
Chitapanarux,22,first
Chitturi,648,first
Choudhary,23,first
Chowdhry,103,first
Chtioui,31,first
Chtourou,70,first
Cichoz-Lach,27,first
Clapper,37,first
Clark,542,first
Colak,39,first
Conde,35,first
Cong,71,first
Copaci,76,first
Cordero,88,first
Corey,23,first
Corrado,46,first
Cortez-Pinto,449,first
Cotler,72,first
Cotrim,72,first
Crespo,520,first
Cuadrado,87,first
Cui,52,first
Cusi,199,first
da,57,first
Daltro,31,first
Das,81,first
Dasarathy,127,first
Daubioul,90,first
Day,354,first
De,356,first
de Lédinghen,142,first
Degertekin,25,first
Del,43,first
Delgado,31,first
Della,32,first
Deng,31,first
DePaoli,27,first
Dhillon,25,first
Di,52,first
Diab,94,first
Diehl,559,first
Dietrich,81,first
Ding,22,first
Dixon,1823,first
Döcke,76,first
Dolce,24,first
Domanski,23,first
Domenici,42,first
Dong,76,first
Dongiovanni,269,first
Dorn,131,first
Dowman,232,first
Doycheva,25,first
Du,453,first
Ducheix,34,first
Dufour,212,first
Dulai,38,first
Duman,48,first
Dunn,92,first
Duseja,242,first
Dushay,248,first
Duval,89,first
Duvnjak,172,first
Dwyer,25,first
Dyson,28,first
Dzierlenga,20,first
Eckard,41,first
Egnatchik,38,first
Eguchi,135,first
El,24,first
Elinav,103,first
Elwing,46,first
Emery,124,first
Ertle,226,first
Eslami,64,first
Estep,79,first
Ezquer,34,first
Fan,105,first
Fares,26,first
Fargion,239,first
Farhadi,110,first
Farrell,2230,first
Fealy,39,first
Federico,28,first
Fehér,21,first
Feldstein,1141,first
Felipo,64,first
Fernandez,340,first
Ferolla,32,first
Ferreira,72,first
Festi,98,first
Fierbinteanu-Braticevici,80,first
Fiorucci,180,first
Firneisz,45,first
Fisher,215,first
Fitzpatrick,22,first
Floreani,27,first
Fracanzani,407,first
Francque,101,first
Frasinariu,44,first
Frau,31,first
Friedman,82,first
Friedrich-Rust,62,first
Fromenty,176,first
Fucho,62,first
Fujii,420,first
Fujita,444,first
Fukusato,36,first
Fukushima,159,first
Furusho,27,first
Gäbele,122,first
Gadd,80,first
Gaemers,51,first
Galli,27,first
Gan,61,first
Gandhi,120,first
Ganji,24,first
Garcia-Caraballo,23,first
García-Galiano,61,first
García-Monzón,47,first
Garcia-Ruiz,72,first
Gastaldelli,192,first
Gautheron,138,first
Gawrieh,52,first
Gege,23,first
Gentric,42,first
George,601,first
Georgescu,188,first
Giannini,36,first
Giannitrapani,37,first
Gill,24,first
Giorgio,68,first
Goel,69,first
Gómez-Lechón,24,first
Gonciarz,33,first
González-Rodríguez,102,first
Gorden,54,first
Gornicka,25,first
Grandison,34,first
Grattagliano,33,first
Green,68,first
Grieco,46,first
Grieve,21,first
Gruben,44,first
Guerra,152,first
Guerrerio,41,first
Gupte,86,first
Guy,97,first
Guzmán-Aroca,58,first
Gyamfi,35,first
Haddad,35,first
Hafeez,55,first
Hai,30,first
Hajiaghamohammadi,36,first
Hallier,80,first
Hamada,32,first
Hancock,22,first
Handa,29,first
Haque,76,first
Hardwick,263,first
Hardy,49,first
Harmon,47,first
Harnois,39,first
Harrison,667,first
Hashimoto,564,first
Hashizume,59,first
Hatanaka,40,first
Hatting,27,first
Hayashizaki-Someya,25,first
Hazlehurst,32,first
He,33,first
Hebbard,199,first
Heel,45,first
Henkel,51,first
Heringlake,50,first
Hesham,23,first
Heuer,34,first
Heymann,106,first
Higuchi,89,first
Hill-Baskin,93,first
Hirose,158,first
Hirsova,118,first
Hjelkrem,60,first
Honda,55,first
Hoofnagle,65,first
Hotta,75,first
Houlihan,36,first
Hu,26,first
Hui,741,first
Hussein,42,first
Hyder,32,first
Hyogo,311,first
Hyysalo,34,first
Iacobellis,39,first
Iacobini,58,first
Ibañez,32,first
Ibrahim,28,first
Ichimura,25,first
Idilman,63,first
Ikejima,114,first
Ilan,64,first
Imajo,137,first
Imeryuz,26,first
Inge,129,first
Ingiliz,86,first
Inzaugarat,23,first
Ioannou,133,first
Ip,22,first
Irie,25,first
Ishii,56,first
Ishikawa,25,first
Itagaki,37,first
Ito,82,first
Itoh,74,first
Iwamoto,67,first
Janig,29,first
Jankowska,21,first
Jansen,38,first
Jaskiewicz,70,first
Jha,61,first
Ji,191,first
Jiang,117,first
Jin,63,first
Joka,102,first
Joshi-Barve,157,first
Jou,237,first
Jouët,116,first
Juluri,30,first
Kadayifci,91,first
Kahraman,98,first
Kaji,54,first
Kajikawa,29,first
Kakisaka,21,first
Kalhan,170,first
Kallwitz,149,first
Kamada,404,first
Kang,39,first
Kapil,22,first
Kargiotis,57,first
Karlas,38,first
Kaser,310,first
Kashi,47,first
Kashireddy,24,first
Kashyap,64,first
Katsiki,51,first
Kawada,102,first
Kawaguchi,234,first
Kawai,44,first
Kawamura,83,first
Kawasaki,86,first
Kelley,27,first
Kelly,24,first
Kemmer,35,first
Kerr,140,first
Khan,87,first
Kiki,25,first
Kim,154,first
Kimura,96,first
Kirsch,306,first
Kistler,178,first
Kita,50,first
Kitade,149,first
Kiyici,164,first
Kleeberg,27,first
Kleiner,23,first
Kobori,22,first
Kochi,52,first
Koek,150,first
Kohgo,37,first
Kohli,151,first
Koike,90,first
Kojima,62,first
Kong,93,first
Konopelska,22,first
Kontogianni,47,first
Konturek,103,first
Koppe,123,first
Kornek,132,first
Koruk,193,first
Kowdley,167,first
Krammer,45,first
Krasnoff,87,first
Krautbauer,35,first
Krawczyk,138,first
Krishnan,26,first
Kruger,52,first
Kucera,40,first
Kudo,137,first
Kugelmas,383,first
Kukla,103,first
Kumar,99,first
Kunde,127,first
Kuo,34,first
Kuwashiro,21,first
Lade,39,first
Lake,178,first
Lalloyer,41,first
Lallukka,20,first
Lamattina,46,first
Langman,99,first
Larrain,26,first
Larson,46,first
Larter,534,first
Lassailly,101,first
Laurent,93,first
Laurin,477,first
Lavallard,30,first
Lavine,468,first
Law,52,first
Le,99,first
Leclercq,585,first
Lee,703,first
Leite,75,first
Lelliott,65,first
Lemoine,195,first
Leroux,79,first
Lesmana,36,first
Lewis,215,first
Li,142,first
Liang,84,first
Liangpunsakul,80,first
Lickteig,103,first
Lim,275,first
Lin,38,first
Lindor,497,first
Lindsay,39,first
Linhart,36,first
Liou,93,first
Lisjak,93,first
Lisman,52,first
Liu,346,first
Lizardi-Cervera,39,first
Llorente,32,first
Lo,37,first
Locatelli,50,first
Lomonaco,141,first
Lonardo,238,first
London,70,first
Loomba,891,first
López-Vicario,48,first
Loria,244,first
Ludwig,170,first
Luedde,375,first
Lup?or,150,first
Luther,24,first
Luukkonen,34,first
Lydatakis,59,first
Ma,240,first
Machado,256,first
Madanagobalane,31,first
Mager,33,first
Maglich,59,first
Mahady,35,first
Mahajan,22,first
Maina,32,first
Malaguarnera,653,first
Malik,219,first
Maliken,46,first
Mancina,159,first
Manco,263,first
Männistö,26,first
Manousou,57,first
Mantena,364,first
Marchesini,285,first
Marcolin,52,first
Mardinoglu,122,first
Marik,36,first
Marion,77,first
Marra,528,first
Mas,74,first
Masarone,95,first
Masuoka,100,first
Mathur,21,first
Mathurin,228,first
Mato,33,first
Matsumoto,137,first
Matsunami,52,first
Matsuzawa,262,first
Maurantonio,27,first
Maximos,49,first
McCarthy,65,first
McCook,25,first
McCormack,96,first
McCullough,737,first
Meakin,53,first
Medina,152,first
Meier,23,first
Mells,47,first
Mencarelli,43,first
Mendez-Sanchez,52,first
Méndez-Sánchez,24,first
Mendler,393,first
Menon,52,first
Merat,183,first
Merriman,222,first
Michelotti,269,first
Miele,556,first
Milic,21,first
Mili?,57,first
Miller,34,first
Minville,30,first
Miquilena-Colina,137,first
Mirrakhimov,39,first
Mitsuyoshi,75,first
Mittal,102,first
Miura,602,first
Miyaki,22,first
Miyao,25,first
Mizrahi,21,first
Mohanty,69,first
Molloy,86,first
Monga,83,first
Monto,315,first
Morita,37,first
Moriyasu,24,first
Morra,31,first
Moschen,147,first
Mouzaki,211,first
Mudaliar,289,first
Muir,104,first
Müller,47,first
Murakami,77,first
Murata,70,first
Musso,447,first
Nabeshima,38,first
Nagaoki,52,first
Nagarajan,40,first
Nagaya,49,first
Naik,40,first
Nair,131,first
Nakagami,42,first
Nakagawa,102,first
Nakahara,22,first
Nakajima,23,first
Nakamoto,34,first
Nakamura,101,first
Nakanishi,25,first
Nakano,26,first
Nakayama,45,first
Nalbantoglu,114,first
Namikawa,178,first
Nan,81,first
Nannipieri,33,first
Nascimbeni,167,first
Nati,21,first
Nehra,115,first
Neligan,25,first
Nelson,370,first
Neuman,27,first
Neuschwander-Tetri,1726,first
Ni,36,first
Niebergall,32,first
Niemelä,48,first
Nishida,22,first
Nishikawa,25,first
Nishizawa,61,first
Nobili,538,first
Nocito,78,first
Nomoto,66,first
Noureddin,103,first
Nozaki,40,first
Nseir,43,first
Obara,37,first
O'Connor,21,first
Oda,27,first
Ogawa,27,first
Oh,87,first
Ohki,76,first
Oikawa,23,first
Okada,25,first
Okanoue,73,first
Okubo,25,first
Okumura,30,first
O'Leary,43,first
Oliva,62,first
Oliveira,41,first
