date,time,desc,boro,lat,lon
08/22/2016,01:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.629597831,-73.942942693
08/21/2016,01:33:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.595792272,-73.984064191
08/20/2016,23:44:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.819778814,-73.936720733
08/19/2016,18:07:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.689567810999996,-73.832478977
08/19/2016,16:13:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.84711223,-73.91747681
08/17/2016,21:20:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.836266064,-73.911328663
08/16/2016,20:14:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67459999,-73.930574822
08/16/2016,22:24:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.659114761,-73.923216654
08/14/2016,04:38:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.819596981,-73.91818654800001
08/14/2016,01:59:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.689819066999995,-73.831612927
08/14/2016,01:50:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.640790702,-73.932141379
08/13/2016,13:45:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.67941151,-73.858592765
08/13/2016,13:45:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.67941151,-73.858592765
08/12/2016,00:51:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.690654842,-73.90804256199999
08/11/2016,13:29:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.818407371,-73.887507503
08/10/2016,00:31:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.674993193,-73.915234704
08/09/2016,21:03:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,,
